WATER_SY_1,WATER_SYST,GLOBALID,BOUNDARY_T,OWNER_TYPE,COUNTY,REGULATING,FEDERAL_CL,STATE_CLAS,SERVICE_CO,POPULATION,pop_est_total,pop_pct_difference,pop_est_asian,pop_est_black_or_african_american,pop_est_hispanic_or_latino,pop_est_native_american_or_alaska_native,pop_est_other_or_multiple,pop_est_pacific_islander,pop_est_white,pct_est_asian,pct_est_black_or_african_american,pct_est_hispanic_or_latino,pct_est_native_american_or_alaska_native,pct_est_other_or_multiple,pct_est_pacific_islander,pct_est_white,med_hh_income_est
EDGEWATER MOBILE HOME PARK,CA3400433,{FA333DDB-BCD6-4D29-9D40-664577E929C9},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,22,40,0,-100,0,0,0,0,0,0,0,0,2.75,5.19,0,2.6,0,89.47,28182
CALAM - LINCOLN OAKS,CA3410013,{488DCE2C-6EEA-4377-8984-5833F5D03CDF},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,14390,47487,41854,-11.86,2179,1405,8930,157,2271,54,26857,5.21,3.36,21.34,0.38,5.43,0.13,64.17,74275
"VIEIRA'S RESORT, INC",CA3400164,{C8E1FF09-C1ED-47D9-BD1C-AE3C754ABA72},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,107,150,5,-96.67,0,0,1,0,0,0,3,3.77,1.46,28.35,0,2.31,0,64.11,49028
FLORIN COUNTY WATER DISTRICT,CA3410033,{7D72D48E-DB2F-4E79-B396-70EEB030D102},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,2323,7831,10164,29.79,3035,1190,2890,4,585,852,1609,29.86,11.71,28.43,0.04,5.76,8.38,15.83,51381
WESTERNER MOBILE HOME PARK,CA3400331,{5DF48C4F-72B2-40C9-B2F7-10F9FF855DCC},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,49,65,28,-56.92,9,7,6,0,1,0,6,30.72,25.02,19.42,1.03,3.22,0.64,19.94,55221
EL DORADO WEST MHP,CA3400122,{2667CD45-9C2C-41B7-A95B-2F343B570215},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,128,172,153,-11.05,15,30,90,0,5,0,13,10.03,19.48,58.72,0,3.42,0,8.36,34669
TOKAY PARK WATER CO,CA3400172,{D2908483-C728-45ED-9A75-BA27D6E66685},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,198,525,641,22.1,223,61,206,4,11,0,137,34.82,9.48,32.1,0.59,1.67,0,21.34,56262
LAGUNA DEL SOL INC,CA3400181,{F64FE571-B7DD-4F78-BBCF-2057DA131C24},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,112,470,31,-93.4,0,0,12,0,0,0,18,1.21,0,37.91,1.38,1.12,0,58.38,88938
OLYMPIA MOBILODGE,CA3410022,{B1E1B46F-9300-473E-B970-1D739E004B14},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,200,450,315,-30,113,19,77,0,0,15,90,36,6.08,24.47,0,0,4.81,28.64,37000
GOLDEN STATE WATER CO - ARDEN WATER SERV,CA3410003,{E2997C83-F848-48AF-8915-B45E6469AC6E},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,1716,5125,6376,24.41,890,566,1501,0,773,1,2646,13.96,8.87,23.54,0,12.12,0.01,41.49,56056
ELEVEN OAKS MOBILE HOME COMMUNITY,CA3400191,{AB99BC88-8951-414B-BA24-E873AF46C168},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,136,262,269,2.67,61,29,28,0,15,0,137,22.53,10.7,10.46,0,5.51,0,50.79,37833
