GEOID,NAME,water_system_name,areal_weight_factor,population_total_count,population_hispanic_or_latino_count,population_white_count,population_black_or_african_american_count,population_native_american_or_alaska_native_count,population_asian_count,population_pacific_islander_count,population_other_count,population_multiple_count,poverty_total_assessed_count,poverty_below_level_count,poverty_above_level_count,poverty_rate_pct_calc_census_unit,households_count,average_household_size,median_household_income,households_income_below_10k_count,households_income_10k_15k_count,households_income_15k_20k_count,households_income_20k_25k_count,households_income_25k_30k_count,households_income_30k_35k_count,households_income_35k_40k_count,households_income_40k_45k_count,households_income_45k_50k_count,households_income_50k_60k_count,households_income_60k_75k_count,households_income_75k_100k_count,households_income_100k_125k_count,households_income_125k_150k_count,households_income_150k_200k_count,households_income_above_200k_count,households_mortgage_total_count,households_mortgage_housing_costs_over30pct_count,households_mortgage_housing_costs_over50pct_count,households_no_mortgage_total_count,households_no_mortgage_housing_costs_over30pct_count,households_no_mortgage_housing_costs_over50pct_count,households_rent_total_count,households_rent_housing_costs_over30pct_count,households_rent_housing_costs_over50pct_count,households_all_housing_costs_over30pct_percent,households_all_housing_costs_over50pct_percent,per_capita_income
060670099004,Block Group 4; Census Tract 99; Sacramento County; California,HOOD WATER MAINTENCE DIST [SWS],0.0018776991066684651,1.1641734461344484,0.8055329167607715,0.3342304409869868,0,0,0,0,0,0.024410088386690048,1.1641734461344484,0.20279150352019423,0.9613819426142541,17.419354838709676,0.41121610436039385,2.55,56250,0.05633097320005395,0,0,0,0,0,0.06947486694673322,0.0375539821333693,0.01877699106668465,0.04694247766671163,0.05069787588004856,0.06571946873339628,0.05257557498671702,0,0,0.013143893746679255,0.05445327409338549,0.05445327409338549,0,0.16523752138682493,0.05633097320005395,0.05633097320005395,0.19152530888018343,0.076985663373407065,0.048820176773380096,45.662100456621005,25.570776255707763,23510
060670049083,Block Group 3; Census Tract 49.08; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.02486160517145907,59.74243722701615,25.632314931774303,4.176749668805124,9.198793913439856,0,10.864521459927614,6.4391557394079,0,3.4309015136613517,59.74243722701615,8.900454651382347,50.8419825756338,14.898044111527257,15.190440759761492,3.91,78750,0.6464017344579358,1.1933570482300353,1.1436338378871174,0.3232008672289679,0.7707097603152312,0.6464017344579358,0.24861605171459072,0.720986549972313,0,0.8950177861725266,0.7955713654866903,3.4309015136613517,0.696124944800854,1.2679418637444126,1.740312362002135,0.6712633396293949,8.055160075552738,1.7900355723450532,1.1684954430585763,1.8397587826879713,0.4226472879148042,0,5.295521901520782,3.2071470671182203,2.660191753346121,35.67921440261866,25.204582651391167,22116
060670041003,Block Group 3; Census Tract 41; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.06623621923980513,103.1297933563766,36.49615680113263,17.353889440828944,18.148724071706607,0,4.76900778526597,1.3247243847961028,0,25.03729087264634,101.9375414100601,18.281196510186216,83.65634489987389,17.933723196881093,34.11165290849964,2.9,55375,0.26494487695922053,3.2455747427504513,3.6429920581892823,1.987086577194154,1.6559054809951284,0.5298897539184411,0.3974173154388308,1.9208503579543488,1.3247243847961028,4.437826689066944,8.610708501174667,0.8610708501174668,4.636535346786359,0,0.5961259731582462,0,3.5767558389494774,0.993543288597077,0.5298897539184411,6.491149485500903,0.7285984116378564,0.7285984116378564,24.043747584049264,12.51864543632317,6.424913266261098,41.74757281553398,22.524271844660195,19653
060670046031,Block Group 1; Census Tract 46.03; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.9604918903492956,925.9141822967209,799.1292527706139,97.00968092527886,29.775248600828164,0,0,0,0,0,925.9141822967209,437.0238101089295,488.89037218779146,47.19917012448133,318.88330759596613,2.9,45833,0,0,34.57770805257464,12.486394574540842,0,23.051805368383093,0,68.19492421479998,63.39246476305351,28.814756710478868,33.61721616222535,0,4.802459451746478,19.209837806985913,24.01229725873239,6.723443232445069,178.65149160496898,130.6268970875042,34.57770805257464,72.03689177619717,0,0,68.19492421479998,68.19492421479998,68.19492421479998,62.34939759036145,32.2289156626506,29166
060670047021,Block Group 1; Census Tract 47.02; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.895417345596023,1654.7312546614505,942.8744649126122,232.808509854966,101.18216005235061,0,337.57233928970066,8.95417345596023,0,31.339607095860806,1654.7312546614505,185.35139053837676,1469.3798641230737,11.2012987012987,463.8261850187399,3.57,56190,11.6404254927483,17.012929566324438,19.699181603112507,31.339607095860806,0,45.666284625397175,17.90834691192046,0,7.163338764768184,102.07757739794663,55.51587542695343,67.15630091970172,26.86252036788069,15.222094875132392,46.5617019709932,0,104.7638294347347,17.90834691192046,17.90834691192046,118.19508961867504,18.803764257516484,0,240.8672659653302,111.92716819950289,51.934206044569336,32.046332046332054,15.057915057915059,19729
060670045012,Block Group 2; Census Tract 45.01; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.47034687832944966,976.910466290267,350.87877123376944,50.32711598125111,114.76463831238571,0,456.23647197956615,0,0,4.703468783294497,976.910466290267,406.85004975497395,570.060416535293,41.64660568127106,287.3819426592937,3.4,42250,38.56844402301487,6.114509418282846,45.153300319627164,11.288325079906791,4.233121904965047,9.406937566588994,26.80977206477863,2.3517343916472484,32.92428148306148,65.84856296612296,33.86497523972037,2.3517343916472484,0,7.055203174941745,1.4110406349883489,0,17.402834498189637,17.402834498189637,9.877284444918443,12.69936571489514,6.114509418282846,6.114509418282846,257.27974244620896,123.70122900064526,40.92017841466212,51.22749590834698,19.803600654664486,12031
060670045023,Block Group 3; Census Tract 45.02; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.6099097310644424,1318.6248385613244,423.277353358723,115.88284890224405,368.3854775629232,11.588284890224404,273.8494692479346,81.72790396263528,4.879277848515539,39.03422278812431,1318.6248385613244,212.85849614149038,1105.766342419834,16.14246068455134,384.8530403016631,3.43,52634,18.29729193193327,17.68738220086883,0,4.879277848515539,2.4396389242577694,10.978375159159963,28.665757360028792,50.01259794728427,35.9846741328021,39.64413251918875,27.445937897899906,53.67205633367092,28.665757360028792,21.346840587255482,45.133320098768735,0,110.39366132266406,46.96304929196206,25.006298973642135,28.665757360028792,2.4396389242577694,2.4396389242577694,245.79362161897026,151.86752303504613,38.42431305705987,52.297939778129944,17.11568938193344,25092
060670046021,Block Group 1; Census Tract 46.02; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.9986844189975226,2460.7584084098958,1227.3831509479553,777.9751623990701,96.87238864275969,38.94869234090338,244.67768265439304,0,0,74.90133142481419,2460.7584084098958,837.8962275389215,1622.8621808709743,34.050324675324674,777.9751623990701,3.13,53679,30.9592169889232,52.930274206868695,35.95263908391081,38.94869234090338,112.85133934672005,25.965794893935588,37.95000792190586,10.985528608972748,3.9947376759900903,117.84476144170766,140.8145030786507,41.944745597895945,15.978950703960361,44.94079885488851,44.94079885488851,20.972372798947973,204.73030589449212,69.90790932982658,28.961848150928155,134.82239656466555,5.992106513985135,0,438.4224599399124,282.6276905762989,191.74740844752432,46.08472400513479,28.369704749679077,20868
060670046042,Block Group 2; Census Tract 46.04; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.5215457197958407,1533.8659619195676,330.65998635056303,112.13232975610576,601.8637606444003,0,359.8665466591301,66.75785213386762,0,62.58548637550089,1528.6505047216092,249.82039978220772,1278.8301049394015,16.342545206414194,466.78341921727747,3.27,47181,25.034194550200354,29.728106028362923,0,0,0,58.41312061713416,36.508200385708854,0,95.96441244243469,15.12482587407938,90.74895524447629,61.54239493590921,9.909368676120975,20.34028307203779,12.517097275100177,10.952460115712656,46.41756906182982,10.952460115712656,3.1292743187750443,8.866277236529292,5.215457197958408,5.215457197958408,411.4995729189184,122.56324415202258,0,29.720670391061454,1.787709497206704,20348
060670047023,Block Group 3; Census Tract 47.02; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.9913129736030729,1790.3112303271496,717.7105928886248,191.32340390539306,335.06378507783865,13.878381630443021,487.7259830127119,0,0,44.60908381213828,1789.3199173535465,765.2936156215723,1024.0263017319744,42.770083102493075,570.0049598217669,3.05,51067,49.56564868015364,0,81.28766383545198,51.54827462735979,21.808885419267604,39.65251894412292,23.79151136647375,0,0,73.3571600466274,138.78381630443022,0,36.6785800233137,21.808885419267604,8.921816762427657,22.800198392870676,36.6785800233137,19.82625947206146,19.82625947206146,83.27028978265812,0,0,450.0560900157951,183.39290011656848,93.18341951868885,35.65217391304348,19.826086956521742,18769
060670046023,Block Group 3; Census Tract 46.02; Sacramento County; California,CAL AM FRUITRIDGE VISTA,0.9999999999999938,2412.999999999985,1284.999999999992,455.99999999999716,54.99999999999966,0,267.99999999999835,21.999999999999865,11.999999999999925,314.99999999999807,2412.999999999985,870.9999999999945,1541.9999999999905,36.09614587650228,653.9999999999959,3.68,48289,50.99999999999968,0,134.99999999999915,28.99999999999982,9.999999999999938,0,48.999999999999694,12.999999999999918,65.99999999999959,31.9999999999998,109.99999999999932,93.99999999999942,64.9999999999996,0,0,0,173.99999999999892,52.99999999999967,12.999999999999918,124.99999999999922,17.999999999999886,17.999999999999886,354.9999999999978,176.9999999999989,100.99999999999937,37.92048929663609,20.18348623853211,14292
